Type,Step,ID,Kor,Eng
어순과격,1,0,나는 그를 좋아한다. ,I like him.
어순과격,2,1,그는 나를 좋아한다.,He likes me.
어순과격,3,2,그는 그들을 좋아했다.,He liked them.
어순과격,4,3,그들을 그를 싫어했다.,They hated him.
어순과격,5,4,존은 개들을 좋아한다.,John likes dogs.
어순과격,6,5,개들은 존을 좋아한다.,Dogs like John.
어순과격,7,6,피터는 작은 개들을 좋아한다.,Peter likes small dogs.
어순과격,8,7,작은 개들은 그를 좋아한다.,Small dogs like him.
어순과격,9,8,그들을 큰 개들을 싫어한다.,They hate big dogs.
어순과격,10,9,작은 개들은 그들을 싫어한다.,Small dogs hate them.
어순과격,11,10,큰 개들은 너를 좋아할 수 있다.,Big dogs can like you.
어순과격,12,11,너는 작은 개들을 좋아할 수 있다.,You can like small dogs.
어순과격,13,12,그녀는 그의 개들을 싫어한다.,She hates his dogs.
어순과격,14,13,그는 그를 싫어할 수 있다.,He can hate them.
어순과격,15,14,우리는 친절하다.,We are kind.
어순과격,16,15,나는 친절하다.,I am kind.
어순과격,17,16,너는 친절하다.,You are kind.
어순과격,18,17,그들은 친절한 사람들이다.,They are kind people.
어순과격,19,18,사람들이 친절하다.,People are kind.
어순과격,20,19,그것들은 그의 개들이다.,They are his dogs.
어순과격,21,20,작은 개들은 예쁘다.,Small dogs are pretty.
어순과격,22,21,예쁜 개들은 그를 싫어할 것이다.,Pretty dogs will hate him.
어순과격,23,22,예쁜 개들은 그의 집을 싫어할 수 있다.,Pretty dogs can hate his house.
어순과격,24,23,그들은 그 집 안에 있다.,They are in the house.
어순과격,25,24,너는 그 집에 있는 그들의 개들을 싫어할 것이다,You will hate their dogs in the house.
부정문,1,25,그녀는 친절하지 않다.,She is not kind.
부정문,2,26,그들은 친절하지 않다.,They are not kind.
부정문,3,27,존은 작지 않다.,John is not small.
부정문,4,28,그것은 개가 아니다.,It is not a dog.
부정문,5,29,그것들은 너의 개들이 아니다.,They are not your dogs.
부정문,6,30,개들은 그를 싫어하지 않는다.,Dogs do not hate him.
부정문,7,31,그들은 그 집을 싫어하지 않는다.,They do not like the house.
부정문,8,32,우리는 그것을 좋아하지 않는다.,We do not like it.
부정문,9,33,그녀는 작은 개들을 싫어한다.,She hates small dogs.
부정문,10,34,그녀는 큰 개들을 싫어하지 않는다.,She does not hate big dogs.
부정문,11,35,나는 피터를 싫어했다.,I hated Peter.
부정문,12,36,그는 피터를 싫어하지 않았다.,He did not hate Peter.
부정문,13,37,피터는 그들을 싫어할 것이다.,Peter will hate them.
부정문,14,38,존은 그들을 싫어하지 않을 것이다.,John will not hate them.
부정문,15,39,나는 그것을 한다.,I do it.
부정문,16,40,나는 그것을 하지 않는다.,I do not do it.
부정문,17,41,그녀는 그것을 했다.,She did it.
부정문,18,42,그는 그것을 하지 않았다.,He did not do it.
부정문,19,43,존은 그것들을 한다.,John does them.
부정문,20,44,존은 그것들을 하지 않는다.,John does not do them.
부정문,21,45,너는 그 방으로 갈 수 있다.,You can go to the room.
부정문,22,46,그녀는 그 방으로 갈 수 없다.,She cannot go to the room.
부정문,23,47,우리는 그것을 할 수 있었다.,We could do it.
부정문,24,48,피터는 그것을 할 수 없었다.,Peter could not do it.
부정문,25,49,그들은 그 방 안에 있지 않다.,They are not in the room.
의문문,1,50,너는 친절하다.,You are kind.
의문문,2,51,너는 친절하니?,Are you kind?
의문문,3,52,그녀는 작다.,She is small.
의문문,4,53,그녀는 작니?,Is she small?
의문문,5,54,너는 나를 사랑하니?,Do you love me?
의문문,6,55,그녀는 너를 사랑한다.,She loves you.
의문문,7,56,그는 그들을 사랑하니?,Does she love them?
의문문,8,57,너는 누구다.,You are who. 
의문문,9,58,너는 누구니?,Who are you?
의문문,10,59,그들은 누구다.,They are who.
의문문,11,60,그들은 누구니?,Who are they?
의문문,12,61,너는 책들을 좋아한다.,You like books.
의문문,13,62,너는 책들을 왜 좋아한다.,You like books why.
의문문,14,63,너는 책들을 왜 좋아하니?,Why do you like books?
의문문,15,64,우리는 그 것을 좋아했다.,We liked it.
의문문,16,65,우리는 그것을 왜 좋아했다.,We liked it why.
의문문,17,66,그는 그것을 왜 좋아 했니?,Why did he like it?
의문문,18,67,피터는 그것을 할 수 있다.,Peter can do it.
의문문,19,68,피터는 그것을 할 수 있니?,Can Peter do it?
의문문,20,69,존은 그것을 어떻게 할 수 있었다.,John could do it how.
의문문,21,70,존은 그것을 어떻게 할 수 있었니?,How could John do it?
의문문,22,71,너는 그것을 어디서 샀다.(평서문),You bought it where.
의문문,23,72,너는 그것을 어디서 샀니?,Where did you buy it?
의문문,24,73,너는 그 책들을 어디서 살 수 있었다.(평서문),You could buy the books where.
의문문,25,74,너는 그 책들을 어디서 살 수 있었니?,Where could you buy the books?
,,,,
